canonical_tag,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9,synonym10,synonym11,synonym12,synonym13,synonym14,synonym15,synonym16,synonym17,synonym18,synonym19,synonym20,synonym21,synonym22,synonym23,synonym24,synonym25,synonym26,synonym27,synonym28,synonym29,synonym30,synonym31,synonym32,synonym33,synonym34,synonym35,synonym36,synonym37,synonym38,synonym39,synonym40,synonym41,synonym42,synonym43,synonym44,synonym45,synonym46,synonym47,synonym48,synonym49,synonym50,synonym51,synonym52,synonym53,synonym54,synonym55,synonym56,synonym57,synonym58,synonym59,synonym60,synonym61,synonym62,synonym63,synonym64,synonym65,synonym66,synonym67,synonym68,synonym69,synonym70,synonym71,synonym72,synonym73,synonym74,synonym75,synonym76,synonym77,synonym78,synonym79,synonym80,synonym81,synonym82,synonym83,synonym84,synonym85,synonym86,synonym87,synonym88,synonym89,synonym90,synonym91,synonym92,synonym93,synonym94,synonym95,synonym96,synonym97,synonym98,synonym99,synonym100,synonym101,synonym102,synonym103,synonym104,synonym105,synonym106,synonym107,synonym108,synonym109,synonym110,synonym111,synonym112,synonym113,synonym114,synonym115,synonym116,synonym117,synonym118,synonym119,synonym120,synonym121,synonym122,synonym123,synonym124,synonym125,synonym126,synonym127,synonym128,synonym129,synonym130,synonym131,synonym132,synonym133,synonym134,synonym135,synonym136,synonym137,synonym138,synonym139,synonym140,synonym141,synonym142,synonym143,synonym144,synonym145,synonym146,synonym147,synonym148,synonym149,synonym150,synonym151,synonym152,synonym153,synonym154,synonym155,synonym156,synonym157,synonym158,synonym159,synonym160,synonym161,synonym162,synonym163,synonym164,synonym165,synonym166,synonym167,synonym168,synonym169,synonym170,synonym171,synonym172,synonym173,synonym174,synonym175,synonym176,synonym177,synonym178,synonym179,synonym180,synonym181,synonym182,synonym183,synonym184,synonym185,synonym186,synonym187,synonym188,synonym189,synonym190,synonym191,synonym192,synonym193,synonym194,synonym195,synonym196,synonym197,synonym198,synonym199,synonym200,synonym201,synonym202,synonym203,synonym204,synonym205,synonym206,synonym207,synonym208,synonym209,synonym210,synonym211,synonym212,synonym213,synonym214,synonym215,synonym216,synonym217,synonym218,synonym219,synonym220,synonym221,synonym222,synonym223,synonym224,synonym225,synonym226,synonym227,synonym228,synonym229,synonym230,synonym231,synonym232,synonym233,synonym234,synonym235,synonym236,synonym237,synonym238,synonym239,synonym240,synonym241,synonym242,synonym243,synonym244,synonym245,synonym246,synonym247,synonym248,synonym249,synonym250,synonym251,synonym252,synonym253,synonym254,synonym255,synonym256,synonym257,synonym258,synonym259,synonym260,synonym261,synonym262,synonym263,synonym264,synonym265,synonym266,synonym267,synonym268,synonym269,synonym270,synonym271,synonym272,synonym273,synonym274,synonym275,synonym276,synonym277,synonym278,synonym279,synonym280,synonym281,synonym282,synonym283,synonym284,synonym285,synonym286,synonym287,synonym288,synonym289,synonym290,synonym291,synonym292,synonym293,synonym294,synonym295,synonym296,synonym297,synonym298,synonym299,synonym300,synonym301
Aberforth Dumbledore,Aberforth,Aberforth (not a big role at all),Aberforth Dumbeldore,Aberforth Dumbledore (mencionado),Aberforth Dumbledore (Mention),Aberforth Dumbledore (mentioned),Aberfoth,Aberfoth Dumbledore,Alberforth Dumbledore,Alpha Aberforth Dumbledore,Mention of Aberforth,Mentioned Aberforth Dumbledore,Аберфорт Дамблдор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraxas Malfoy,Abarax Malfoy,Abraxas Malfoy (Kind),Abraxas Malfoy (mentioned only),Abraxas Malfoy (mentioned),Abraxas Malfoy (mentionned),Abraxas Malfoy (Portrait),Abraxas Malfoy (Potrait),Abraxas Malfoy (ref),Abraxas Malfoy (sort of),Abraxis Malfoy,Abraxus Malfoy,Brief Abraxas Malfoy,Brief mentions of Abraxas Malfoy,Lord Abraxas Malfoy,mentioned Abraxas Malfoy,Mentions of Abraxas Malfoy,Portrait Abraxas Malfoy,Абраксас Малфой,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Pucey,Adrian Pucey (Mentioned),mentioned Adrian Pucey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alastor ""Mad-Eye"" Moody",(as Mad Eye Moody),Alastair Moody,Alastar 'Mad-Eye' Moody,Alaster Moody,"Alastor ""Mad-Eye"" Moody (mentioned)",Alastor ''Mad-Eye'' Moody,Alastor 'Mad Eye' Moody,Alastor (Mad-Eye) Moody,Alastor Moody,Alastor Moody (mentioned),Alastor “Mad-Eye” Moody,"Alistair ""Mad Eye"" Moody",Alister Moody,"Alistor ""Mad-Eye"" Moody",Alistor Moody,Mad Eye Moody,Mad Eye Moody (mention),Mad Eye Moody (mentioned),Mad-Eye Moody,Mad-Eye Moody (Harry Potter),Mad-eye Moody (mentioned),Mad-Eye Moony,Made-Eye,Madeye,Maugrey Fol Oeil,mention of Mad Eye Moody,Moody - Character,Ojo loco,Аластор Моуди,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albus Dumbledore,( Mentioned ) Albus Dumbledore,(minor) Dumbledore,Ablus Dumbledore,Afterlife Albus Dumbledore,Albums Dumbledore,Albun Dumbledore,Albus (too many middle names) Dumbledore,Albus 17 middle names Dumbledore,Albus Brumbál,Albus Dombledore,Albus Dum,Albus Dumb,Albus Dumbdore,Albus Dumbedore,Albus Dumbeldore,albus dumbeldore (mentioned),Albus Dumbldore,Albus Dumbledoofus,Albus Dumbledoor,Albus Dumbledor,Albus Dumbledore (?),Albus Dumbledore (barely),Albus Dumbledore (brief),Albus Dumbledore (briefly),Albus Dumbledore (in abstentia),Albus Dumbledore (in spirit),Albus Dumbledore (Jung),Albus Dumbledore (mention),Albus Dumbledore (Mentioned),Albus Dumbledore (no lines actually said),Albus Dumbledore (offscreen),Albus Dumbledore (past),Albus Dumbledore (Resurrection Stone),Albus Dumbledore (sort of mentioned),Albus Dumbledore (sort of),Albus Dumbledore (unfortunately),Albus Dumbledore - mentioned,Albus Dumbledore 1942,Albus Dumbledore 1996,Albus Dumbledore implied,Albus Dumbledore Mention,Albus Dumbledore mentioned,Albus Dumbledore | Professor Albus Percivul Wulric Brian Dumbledore,Albus Dumbledore(FeS2),Albus Dumbledore(lower back),Albus Dumbledore(mention),Albus Dumbledore(mentioned),Albus Dumbledore.,Albus Dumbledore/SI,Albus Dumbledore???,Albus Dumbledores,Albus Dumblefore,Albus Dumblendore,Albus Dumbleore,Albus Dumblerdore,Albus Dumdledore,Albus Duumbledore,Albus Percival Wolfric Brian Dumbledore,Albus Percival Wulfric Brian Dumbledore,Albus Percival Wulfric Brian Dumbledore - briefly mentioned,Albus Percival Wulfric Bryan Dumbledore,Albus Perciville Wolfrick Brian Dumbledore,Albus Silente,ALbuse Dumbldore,Albus·Dumbledore,Alpha Albus Percival Wulfric Brain Dumbledore,Aniela Dumbdoor (jako Albus Dumbledore),Bad Dumbledore - Character,brief appearance of Albus Dumbledore,Brief Dumbledore appearance,brief mentions of Albus Dumbledore,Brumbál,Cameo Dumbledore,ch 43 Dumbledore,dark!Albus - Character,Dark!Manipulative!Dumbledore,Dombuldor,doombledoor,Dream Albus Dumbledore,Dumbdor,Dumbdore,Dumbeldore,Dumbldore,Dumble door,Dumblebore - Character,Dumbledear,Dumbledooooor,Dumbledoor,Dumbledor,Dumbledore,Dumbledore (mentioned),Dumbledore Albus,Dumbledore maybe,Dumbledore mentioned,Dumbledore should get his priorities straight,Dumblefuck,Dumblendore - Character,Dumblerdore,Dumbles - Character,Dumbludore,Dumblydoor,Dumblydore,Dumbydore,Evil!Dumbledore - Character,Female Albus,Gay Dumbledore,Ghost Albus Dumbeldore,Ghost Albus Dumbledore,Headmaster Dumbledore,Headmaster Dumbledore (Mentioned),Implied Dumbldore,Manipulative Albus Dumbledore - Character,mention of Albus Dumbledore,mention of Dumbledore,Mentioned Albus Dumbledore,mentioned Dumbledore,mentions of Albus Dumbledore - Character,mentions of Dumbledore - Character,Mirror Albus Dumbledore,Professor Albus Dumbledore - Character,Professor Dumbledor,Professor Dumbledore,referenced Albus Dumbledore,Slight Dumbledore Bashing - Character,Vision Dumbledore,Young Albus Dumbledore (mentioned),Young Albus Dumbledore - Character,young dumbledore - Character,Younger Teacher Dumbledore - Character,Альбус Дамблдор,Дамблдор,邓布利多,阿不思·邓布利多,阿不思鄧不利多,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albus Severus Potter,Al mentioned,Al Potter,Albums Severus Potter,Albus,Albus Orion Black,Albus Poter,Albus Potter,Albus Potter (mentioned),Albus Potter Malfoy,Albus Potter/Allan Seville,Albus S Potter,Albus S. Potter,Albus Serverus Potter,Albus Severus,Albus Severus Greengrass-Lovegood-Malfoy-Potter-Weasley,Albus Severus is Arthur Frederick Potter in this universe.,Albus Severus is Arthur Rubeus in this universe,Albus Severus is Arthur Severus in this universe,Albus Severus Malfoy-Potter,Albus Severus Potte,Albus Severus Potter (Harry Potter),Albus Severus Potter (ment),Albus Severus Potter (mentioned only),Albus Severus Potter (mentioned),Albus Severus Potter (non-canon),Albus Severus Potter (renamed),Albus Severus Potter - mentioned,Albus Severus Potter | Arthur,Albus Severus Potter(Also brief),Albus Severus Potter-Malfoy,Albus SP,Albus-Severus Potter,Allbus Potter,Baby Albus Severus Potter - Character,cameo of albus severus potter,mentioned Albus Severus Potter - Character,Mentions of Albus Severus Potter,Might have ALbus Potter,Severus Potter,Альбус Северус Поттер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicia Spinnet,Alecia Spinnett,Alicia Spinet,Alicia Spinnet (mentioned),Alicia Spinnet - Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alecto Carrow,Alecto Carrow (Briefly),Alecto Carrow (mentioned),Alecto Carrows,Alpha Alecto Thiathan Carrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Longbottom,(Mentioned) Alice Longbottom,Alice (Longbottom),Alice Fawcett,Alice Fortescue,Alice Fortescue Longbottom,Alice Fortesque,Alice Fortsecue,Alice Katerina Langdon nee Gray,Alice Lightwood Longbottom,Alice Longbottom (mentioned),Alice Longbottom | Alice Brunhilde Fortescue,Alice Longbottom(mentioned),Alice MacDonald,Alice Prewett,Alice Prewett (mentioned),Alice Prewett Longbottom,Alice Spencer Longbottom,Mention of Alice Longbottom,Mrs. Longbottom,Алиса Шаффик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphard Black,Alphard Black (mentioned),Portrait Alphard Black,Альфард Блэк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
